rank_by_mcc,dataset,experiment_group,feature_set,model,n_seeds,n_features_mean,extra_dim_mean,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,method_family
1,acepair_cls_2_5,FeatureModelGrid,A1FlatFull,A1FlatFull-RF,5,906.0,,0.6320987654320988,0.0556583411301227,0.6332386363636363,0.0312241628728047,0.7121843434343434,0.0469982045375495,0.6513281356539226,0.0551529590489025,0.567480762722527,0.0903473001880007,0.2953425710542021,0.0430191328469318,0.5809741002704388,0.0943012360179566,0.6393939393939394,0.2629562806050501,0.6270833333333334,0.2592055169165965,Ours: A1 pairwise representation
2,acepair_cls_2_5,FeatureModelGrid,Descriptor,Descriptor-SVC,5,82.0,,0.6703703703703703,0.0264064810323548,0.6328598484848484,0.0441289402878107,0.6839646464646464,0.0355144060845956,0.5972265076271779,0.0290802281878207,0.5021493927406044,0.1200207472027713,0.2938495014655478,0.0717768512038709,0.644193189550115,0.0324899782747594,0.4303030303030303,0.1486857021254193,0.8354166666666666,0.0664547412822357,Descriptor baseline
3,acepair_cls_2_5,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,5,988.0,,0.6419753086419753,0.0457790030067633,0.6264204545454545,0.0355113636363636,0.7170138888888888,0.0464176172844742,0.6486812216298609,0.0559441221441074,0.5317619151126254,0.1096587443541474,0.2807759495622265,0.0592694847171144,0.6090044540748767,0.118674511098985,0.5424242424242424,0.2365286913989775,0.7104166666666667,0.2155520206611645,Ours: A1 pairwise representation
4,acepair_cls_2_5,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,5,988.0,,0.6209876543209877,0.0444272943591273,0.6233901515151515,0.0234257795151138,0.705145202020202,0.0389588814189449,0.6230792534973328,0.0479423363201227,0.5561294540699576,0.0979020679713284,0.2758545575961201,0.0463731871416373,0.5713678489256657,0.1151750856511815,0.6363636363636365,0.270190219698894,0.6104166666666666,0.2516870162854386,Ours: A1 pairwise representation
5,acepair_cls_2_5,FeatureModelGrid,SeqOnly,SeqOnly-RF,5,130.0,,0.6604938271604938,0.0299239497371378,0.6235795454545454,0.0373077818689625,0.7088699494949494,0.0260178859126718,0.6397685624163714,0.0381019597445344,0.4969818476530795,0.0885116698087068,0.2745887101438093,0.0661065567185493,0.6315621244396035,0.0593414122173629,0.4242424242424242,0.1138886089270674,0.8229166666666667,0.0694878336673246,Sequence baseline
6,acepair_cls_2_5,FeatureModelGrid,A1FlatFull,A1FlatFull-CatBoost,5,906.0,,0.6160493827160494,0.0582998466820622,0.6263257575757576,0.0333233779038372,0.7039141414141413,0.0398440618104497,0.6348666748685832,0.0706375686033842,0.5839596127382781,0.0582328901354917,0.2659852188073811,0.0602208808186596,0.546350188898576,0.0841084668848426,0.6818181818181819,0.1837023583785172,0.5708333333333333,0.2107155468081714,Ours: A1 pairwise representation
7,acepair_cls_2_5,Fusion,A1FlatFull_ESM2,A1FlatFull_ESM2-MLP,5,1226.0,,0.6074074074074074,0.0504513993622285,0.6228219696969697,0.0416755435619844,0.6386679292929293,0.0645457475397825,0.5417136705730093,0.0825069678631512,0.5835543635228989,0.0862813585926228,0.2565145980013424,0.0723238665762157,0.5250693794145864,0.0532111420178082,0.706060606060606,0.2028832574699454,0.5395833333333333,0.1902860146230171,A1/Descriptor + ESM2 fusion
8,acepair_cls_2_5,FeatureModelGrid,SeqOnly,SeqOnly-CatBoost,5,130.0,,0.619753086419753,0.0645349631540006,0.6053030303030302,0.0362186508511689,0.6758522727272728,0.0260768911604776,0.5891396745208779,0.0454829174512851,0.5029953269725594,0.1280428194658202,0.2427308272782203,0.0413119579917288,0.582684768858455,0.0918260182626721,0.5272727272727273,0.276364633172046,0.6833333333333333,0.2809218764967307,Sequence baseline
9,acepair_cls_2_5,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-MLP,5,988.0,,0.611111111111111,0.0766029237406843,0.6098484848484848,0.0526324786411264,0.668939393939394,0.0530364795810789,0.5940007597662449,0.0633419996200085,0.5419710664928057,0.0965389826220652,0.2402669717383535,0.1075860110681136,0.5514270257691561,0.0857708226711057,0.603030303030303,0.2511223658057903,0.6166666666666666,0.2691655379233299,Ours: A1 pairwise representation
10,acepair_cls_2_5,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-LR,5,1308.0,,0.6160493827160494,0.0252256996811142,0.6196969696969697,0.0284236862760171,0.6559343434343434,0.0405403688647567,0.5493754814248106,0.0598779099883502,0.571415343064616,0.0518896263055496,0.2398712086711597,0.056686359634026,0.5266455679878681,0.0326598047195374,0.6393939393939394,0.1264947361499503,0.6,0.0984361221243954,A1/Descriptor + ESM2 fusion
11,acepair_cls_2_5,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-RF,5,1308.0,,0.5987654320987655,0.0685991073175705,0.6022727272727273,0.0338500275600665,0.6753472222222222,0.0327593502800123,0.5955507069151451,0.0449968418499225,0.533933769885801,0.1021663262086147,0.2366878339497791,0.0577006394920175,0.542596485639964,0.0780631556515582,0.6212121212121212,0.2996018171709877,0.5833333333333333,0.3074240534036189,A1/Descriptor + ESM2 fusion
12,acepair_cls_2_5,FeatureModelGrid,A1FlatFull,A1FlatFull-LR,5,906.0,,0.6283950617283951,0.0192251993856758,0.6144886363636364,0.0193214309507683,0.638794191919192,0.040566259391727,0.5592203134702153,0.0587237200506894,0.5401045187077368,0.037413165146813,0.2306584438113448,0.0373194498792252,0.5461267517439167,0.0270552503591085,0.5393939393939393,0.0715498118370763,0.6895833333333334,0.060020251212033,Ours: A1 pairwise representation
13,acepair_cls_2_5,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,5,988.0,,0.6160493827160495,0.0470919286981744,0.6149621212121212,0.042673306287442,0.6422979797979798,0.0502094410760167,0.5568959430675768,0.0680531761282873,0.5605205463728191,0.0586447777407983,0.2302032320635802,0.0822387920397828,0.5299235104863108,0.0487378766816151,0.6090909090909091,0.1190141629494271,0.6208333333333333,0.117989156163701,Ours: A1 pairwise representation
14,acepair_cls_2_5,FeatureModelGrid,Descriptor,Descriptor-CatBoost,5,82.0,,0.617283950617284,0.0604812282168685,0.6060606060606061,0.0328159501771739,0.6753472222222222,0.0262040107310653,0.5583808157251807,0.0243515861110972,0.5226446820669303,0.0859391876023102,0.2293636627801229,0.0557734535424346,0.5602385563584618,0.0728835989838104,0.5454545454545455,0.2145424584622166,0.6666666666666667,0.235587143289555,Descriptor baseline
15,acepair_cls_2_5,GRU4ACE-like,Token/GRU,GRUOnly,5,,0.0,0.6197530864197531,0.0561694477337151,0.6090909090909091,0.0383326853273471,0.663778409090909,0.0417143017853232,0.603094802307101,0.0403900671421641,0.5370581243451041,0.0568947419671493,0.2289447107545981,0.0920017645074175,0.5555664205466836,0.102556020122348,0.5515151515151515,0.1374535567277785,0.6666666666666666,0.1697309451750033,GRU4ACE-like
16,acepair_cls_2_5,GRU4ACE-like,Token/GRU,GRU_Descriptor,5,,82.0,0.6135802469135803,0.0361519764551761,0.6133522727272728,0.0393115054799085,0.6647095959595959,0.0280747192514429,0.6082198487399086,0.0150318724432519,0.5592967564515576,0.0612046787565438,0.2260434112050507,0.0757469207739558,0.5240867938687412,0.036540869445338,0.6121212121212121,0.1205474198843399,0.6145833333333333,0.0911086233569578,GRU4ACE-like
17,acepair_cls_2_5,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-SVC,5,1308.0,,0.5765432098765432,0.0645349631540006,0.5877840909090909,0.0103334746141368,0.6800978535353536,0.0347156932566889,0.5960215267261344,0.0373282397974335,0.517651534255772,0.1313182877939231,0.2250380106144364,0.019034881255914,0.5428388946819604,0.113946242432258,0.6484848484848486,0.3506847558417645,0.5270833333333333,0.3486550298806989,A1/Descriptor + ESM2 fusion
18,acepair_cls_2_5,Fusion,A1FlatFull_ESM2,A1FlatFull_ESM2-LR,5,1226.0,,0.5913580246913581,0.0435174240296655,0.6097537878787879,0.0325146565145254,0.6398674242424243,0.0383113974513597,0.537556389772059,0.0676800137207942,0.5828574931490613,0.0441729891199272,0.2243475681774766,0.0614133160110573,0.5034597230526481,0.0370289407228368,0.709090909090909,0.1300737941293015,0.5104166666666666,0.1399482171098375,A1/Descriptor + ESM2 fusion
19,acepair_cls_2_5,FeatureModelGrid,PhysChemOnly,PhysChemOnly-CatBoost,5,22.0,,0.5938271604938272,0.0248451997499976,0.6066287878787879,0.0186933593141921,0.637215909090909,0.0270306796207957,0.496635064023566,0.0278488084588409,0.5666960356978507,0.063883569157688,0.2228774119940189,0.0413631657242757,0.5061113708378786,0.0226620192529229,0.6757575757575757,0.190029237516523,0.5374999999999999,0.1654578559130189,Descriptor baseline
20,acepair_cls_2_5,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,5,988.0,,0.5888888888888889,0.0613569068631564,0.5929924242424243,0.0350404380719688,0.6905776515151514,0.0471308392128109,0.5954975139556412,0.0367740967621956,0.5205542241934099,0.117765022748774,0.2199135995031357,0.083408581065109,0.5502443199502023,0.126284847357313,0.6151515151515152,0.2979883580348975,0.5708333333333333,0.2907724387061317,Ours: A1 pairwise representation
