dataset,seed,feature_set,model,base_model,n_features,raw_n_features,selected_k,params,split,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity
plm4ace_cleaned_2_3,42,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.6,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
plm4ace_cleaned_2_3,42,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.6,0.8333333333333334,0.8034146341463415,0.944390243902439,0.892608055364396,0.7555555555555555,0.6405227186668041,0.85,0.68,0.926829268292683
plm4ace_cleaned_2_3,42,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.05,0.9423076923076923,0.953125,0.984375,0.9755120217423354,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
plm4ace_cleaned_2_3,42,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.05,0.803030303030303,0.802439024390244,0.8819512195121951,0.8365559894848495,0.7547169811320755,0.5936889186974259,0.7142857142857143,0.8,0.8048780487804879
plm4ace_cleaned_2_3,42,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.05,0.9423076923076923,0.953125,0.984375,0.9755120217423354,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
plm4ace_cleaned_2_3,42,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.05,0.803030303030303,0.802439024390244,0.8819512195121951,0.8365559894848495,0.7547169811320755,0.5936889186974259,0.7142857142857143,0.8,0.8048780487804879
plm4ace_cleaned_2_3,52,ESM2,ESM2-LR,LR,320,320,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.10999999999999999,0.8653846153846154,0.88125,0.91875,0.8360358528366336,0.8444444444444444,0.7424683557292252,0.76,0.95,0.8125
plm4ace_cleaned_2_3,52,ESM2,ESM2-LR,LR,320,320,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.10999999999999999,0.8333333333333334,0.8580487804878049,0.9385365853658537,0.9129686646494506,0.8135593220338984,0.6950558125045881,0.7058823529411765,0.96,0.7560975609756098
plm4ace_cleaned_2_3,52,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.8799999999999999,0.9230769230769231,0.91875,0.934375,0.872859454350204,0.9,0.8375,0.9,0.9,0.9375
plm4ace_cleaned_2_3,52,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.8799999999999999,0.8787878787878788,0.855609756097561,0.9024390243902439,0.8881343224797926,0.8260869565217391,0.7407125301119243,0.9047619047619048,0.76,0.9512195121951219
plm4ace_cleaned_2_3,52,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.8799999999999999,0.9230769230769231,0.91875,0.934375,0.872859454350204,0.9,0.8375,0.9,0.9,0.9375
plm4ace_cleaned_2_3,52,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.8799999999999999,0.8787878787878788,0.855609756097561,0.9024390243902439,0.8881343224797926,0.8260869565217391,0.7407125301119243,0.9047619047619048,0.76,0.9512195121951219
plm4ace_cleaned_2_3,62,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.4799999999999999,0.9423076923076923,0.953125,0.984375,0.9763969211566466,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
plm4ace_cleaned_2_3,62,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.4799999999999999,0.803030303030303,0.8180487804878049,0.9248780487804878,0.9000797956937546,0.7719298245614035,0.6174065255490347,0.6875,0.88,0.7560975609756098
plm4ace_cleaned_2_3,62,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.6399999999999999,0.9038461538461539,0.884375,0.9562499999999999,0.9467961984564994,0.8648648648648649,0.7972905799691622,0.9411764705882353,0.8,0.96875
plm4ace_cleaned_2_3,62,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.6399999999999999,0.7575757575757576,0.7268292682926829,0.8790243902439026,0.8382784656421256,0.6521739130434783,0.4724709554211863,0.7142857142857143,0.6,0.8536585365853658
plm4ace_cleaned_2_3,62,A1FlatSelected,A1FlatSelected-LR,LR,100,906,100.0,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 100}",valid,0.69,0.9038461538461539,0.875,0.9078124999999999,0.9099775762604712,0.8571428571428571,0.8053872662568292,1.0,0.75,1.0
plm4ace_cleaned_2_3,62,A1FlatSelected,A1FlatSelected-LR,LR,100,906,100.0,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 100}",test,0.69,0.8181818181818182,0.791219512195122,0.92,0.879474728445061,0.7391304347826086,0.6065917427665553,0.8095238095238095,0.68,0.9024390243902439
plm4ace_cleaned_2_3,72,ESM2,ESM2-LR,LR,320,320,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.5599999999999999,0.9230769230769231,0.909375,0.959375,0.9497959012664896,0.8947368421052632,0.8372701128250462,0.9444444444444444,0.85,0.96875
plm4ace_cleaned_2_3,72,ESM2,ESM2-LR,LR,320,320,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.5599999999999999,0.8939393939393939,0.891219512195122,0.9258536585365854,0.9061633516675516,0.8627450980392157,0.7767759413366248,0.8461538461538461,0.88,0.9024390243902439
plm4ace_cleaned_2_3,72,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.3999999999999999,0.8846153846153846,0.896875,0.9140625,0.8788938626476281,0.8636363636363636,0.7746206829028982,0.7916666666666666,0.95,0.84375
plm4ace_cleaned_2_3,72,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.3999999999999999,0.8333333333333334,0.8346341463414634,0.9170731707317074,0.8791631080612781,0.7924528301886793,0.656888061655539,0.75,0.84,0.8292682926829268
plm4ace_cleaned_2_3,72,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.3999999999999999,0.8846153846153846,0.896875,0.9140625,0.8788938626476281,0.8636363636363636,0.7746206829028982,0.7916666666666666,0.95,0.84375
plm4ace_cleaned_2_3,72,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.3999999999999999,0.8333333333333334,0.8346341463414634,0.9170731707317074,0.8791631080612781,0.7924528301886793,0.656888061655539,0.75,0.84,0.8292682926829268
plm4ace_cleaned_2_3,82,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.5599999999999999,0.8653846153846154,0.871875,0.9046875000000001,0.841052883332317,0.8372093023255814,0.7285410859677225,0.782608695652174,0.9,0.84375
plm4ace_cleaned_2_3,82,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.5599999999999999,0.8636363636363636,0.8590243902439024,0.926829268292683,0.899439507251945,0.8235294117647058,0.7128517366879749,0.8076923076923077,0.84,0.8780487804878049
plm4ace_cleaned_2_3,82,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.61,0.8269230769230769,0.840625,0.865625,0.7265631270782577,0.8,0.6633528752007012,0.72,0.9,0.78125
plm4ace_cleaned_2_3,82,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.61,0.8484848484848485,0.831219512195122,0.8926829268292683,0.8460795974149562,0.7916666666666666,0.6743877855501741,0.8260869565217391,0.76,0.9024390243902439
plm4ace_cleaned_2_3,82,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.61,0.8269230769230769,0.840625,0.865625,0.7265631270782577,0.8,0.6633528752007012,0.72,0.9,0.78125
plm4ace_cleaned_2_3,82,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.61,0.8484848484848485,0.831219512195122,0.8926829268292683,0.8460795974149562,0.7916666666666666,0.6743877855501741,0.8260869565217391,0.76,0.9024390243902439
