seed,model,model_group,feature_set,n_features,test_rmse,test_mae,test_spearman,diaglite_rmse,diaglite_mae,diaglite_spearman,delta_rmse_vs_diaglite,delta_mae_vs_diaglite,delta_spearman_vs_diaglite
42,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.128758300326295,0.8708319010587662,0.4813661336776276,1.1500699520111084,0.899658203125,0.3789061133659023,-0.021311651684813304,-0.028826302066233822,0.1024600203117253
42,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.1316733360290527,0.8873128294944763,0.4314833608106998,1.1500699520111084,0.899658203125,0.3789061133659023,-0.018396615982055664,-0.012345373630523682,0.052577247444797526
42,A1-DiagLite,neural_a1_lite,diag_lite,15,1.1500699520111084,0.899658203125,0.3789061133659023,1.1500699520111084,0.899658203125,0.3789061133659023,0.0,0.0,0.0
42,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.153327795385843,0.8931778631145451,0.4282814851759585,1.1500699520111084,0.899658203125,0.3789061133659023,0.003257843374734559,-0.006480340010454944,0.04937537181005619
42,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.1571268738906346,0.9051046586667524,0.4061133079671203,1.1500699520111084,0.899658203125,0.3789061133659023,0.007056921879526223,0.005446455541752382,0.02720719460121801
42,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.1624967283960392,0.9396719515082907,0.3737796130326825,1.1500699520111084,0.899658203125,0.3789061133659023,0.012426776384930838,0.04001374838329075,-0.005126500333219819
42,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1675040385709057,0.9416405982676744,0.3759032771683026,1.1500699520111084,0.899658203125,0.3789061133659023,0.01743408655979728,0.041982395142674434,-0.003002836197599723
42,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.180789569764338,0.9349351967577708,0.4055009273812408,1.1500699520111084,0.899658203125,0.3789061133659023,0.030719617753229622,0.035276993632770814,0.02659481401533853
42,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.1946323525527909,0.9535088978182036,0.3092696924573185,1.1500699520111084,0.899658203125,0.3789061133659023,0.04456240054168248,0.05385069469320358,-0.0696364209085838
42,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.2075790071476786,0.966257588350975,0.2590544844151989,1.1500699520111084,0.899658203125,0.3789061133659023,0.05750905513657023,0.06659938522597497,-0.11985162895070339
42,MeanPredictor,traditional_or_flat_baseline,,0,1.2605591133709553,1.030979605404609,0.0,1.1500699520111084,0.899658203125,0.3789061133659023,0.11048916135984688,0.13132140227960898,-0.3789061133659023
42,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,1.273377537727356,0.9521610736846924,0.3162508311363449,1.1500699520111084,0.899658203125,0.3789061133659023,0.12330758571624756,0.05250287055969238,-0.06265528222955741
42,A1-Full,neural_a1_lite,full,36,1.287861466407776,0.9991623759269714,0.1768905063783373,1.1500699520111084,0.899658203125,0.3789061133659023,0.1377915143966677,0.09950417280197144,-0.202015606987565
52,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.0435630820117785,0.7800555105042999,0.6289553572813608,1.0712566375732422,0.8297615647315979,0.6043724358420108,-0.02769355556146369,-0.04970605422729801,0.024582921439349925
52,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,1.0660815238952637,0.8315834999084473,0.6158153046116441,1.0712566375732422,0.8297615647315979,0.6043724358420108,-0.005175113677978516,0.0018219351768493652,0.011442868769633296
52,A1-DiagLite,neural_a1_lite,diag_lite,15,1.0712566375732422,0.8297615647315979,0.6043724358420108,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.0,0.0,0.0
52,A1-Full,neural_a1_lite,full,36,1.0801578760147097,0.8062092661857605,0.6375987474529188,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.008901238441467507,-0.023552298545837402,0.033226311610907944
52,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0890105962753296,0.8411340713500977,0.6328746273186665,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.017753958702087402,0.011372506618499756,0.02850219147665567
52,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.1173920904310188,0.8562691809686007,0.5512523294435294,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.04613545285777665,0.026507616237002818,-0.053120106398481415
52,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.1226506678883998,0.8213077154397697,0.4272179308075496,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.05139403031515766,-0.008453849291828242,-0.17715450503446123
52,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.1228556134651315,0.8661694639310678,0.4404279704422181,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.05159897589188933,0.03640789919946985,-0.16394446539979274
52,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.146272357851824,0.9076263800884145,0.4611441120679763,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.07501572027858172,0.07786481535681655,-0.14322832377403455
52,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.1587050791554372,0.8789530341007556,0.3745877331637314,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.087448441582195,0.04919146936915775,-0.22978470267827944
52,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1673559158776394,0.9135714155149164,0.4214826868876056,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.09609927830439724,0.08380985078331848,-0.18288974895440524
52,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.1952748477024755,0.9289473385696504,0.3406820289920116,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.12401821012923331,0.0991857738380525,-0.2636904068499992
52,MeanPredictor,traditional_or_flat_baseline,,0,1.303368080603433,1.072998449682688,0.0,1.0712566375732422,0.8297615647315979,0.6043724358420108,0.2321114430301907,0.2432368849510902,-0.6043724358420108
62,A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,33,0.9875262975692748,0.7468214631080627,0.4880541000919763,1.0087519884109497,0.7981048822402954,0.4728144384737033,-0.021225690841674916,-0.051283419132232666,0.015239661618273004
62,A1-DiagLite,neural_a1_lite,diag_lite,15,1.0087519884109497,0.7981048822402954,0.4728144384737033,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.0,0.0,0.0
62,A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,906,1.00915491614858,0.7423366593084383,0.4592019737905614,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.00040292773763028755,-0.055768222931857125,-0.013612464683141923
62,A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,906,1.0138973052403952,0.76349326609275,0.4000104981825039,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.005145316829445523,-0.034611616147545377,-0.07280394029119941
62,SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,130,1.037962865175692,0.8104519519458183,0.3771247606432372,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.029210876764742322,0.012347069705522906,-0.09568967783046611
62,Descriptor-SVR,traditional_or_flat_baseline,Descriptor,82,1.053898515518996,0.8535688226942545,0.3707559468326156,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.04514652710804623,0.05546394045395908,-0.10205849164108771
62,A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,23,1.0583785772323608,0.8445665240287781,0.4149527151997316,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.04962658882141113,0.046461641788482666,-0.05786172327397171
62,Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,82,1.0604759010673417,0.8048833729935753,0.4009378254681164,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.05172391265639198,0.006778490753279853,-0.0718766130055869
62,SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,130,1.0605005776564869,0.8371779337821377,0.3693737042748159,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.05174858924553716,0.03907305154184226,-0.10344073419888739
62,PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,22,1.0790421279192632,0.8327762378347998,0.3726903695408735,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.07029013950831353,0.034671355594504405,-0.10012406893282982
62,A1-Full,neural_a1_lite,full,36,1.1248290538787842,0.9238587617874146,0.2618212358850052,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.11607706546783447,0.12575387954711914,-0.21099320258869808
62,PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,22,1.1481254438717994,0.9052946282806152,0.2279885218365061,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.13937345546084967,0.10718974604031983,-0.24482591663719722
62,MeanPredictor,traditional_or_flat_baseline,,0,1.1632771185479185,0.9477667464887392,0.0,1.0087519884109497,0.7981048822402954,0.4728144384737033,0.15452513013696878,0.14966186424844374,-0.4728144384737033
