feature_set,model,split,n_features,rmse,mae,spearman,params,seed
,MeanPredictor,val,0,1.350554679922214,1.175885683481381,0.0,"{""mean_value"": 4.089875582176812}",42
,MeanPredictor,test,0,1.2605591133709553,1.030979605404609,0.0,"{""mean_value"": 4.089875582176812}",42
SeqOnly,SeqOnly-Ridge,val,130,1.201242217778464,0.9739478728930516,0.4430136124134026,"{""alpha"": 1.0}",42
SeqOnly,SeqOnly-Ridge,test,130,1.148838009321923,0.9106464149933644,0.4210903874389163,"{""alpha"": 1.0}",42
SeqOnly,SeqOnly-SVR,val,130,1.228002295749298,0.9972614952967416,0.3777688351349832,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
SeqOnly,SeqOnly-SVR,test,130,1.153327795385843,0.8931778631145451,0.4282814851759585,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
SeqOnly,SeqOnly-CatBoost,val,130,1.25142702033713,1.026778419579529,0.3196626658291021,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
SeqOnly,SeqOnly-CatBoost,test,130,1.1624967283960392,0.9396719515082907,0.3737796130326825,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
PhysChemOnly,PhysChemOnly-Ridge,val,22,1.2833934876808255,1.0672307683185358,0.2791605063663739,"{""alpha"": 1.0}",42
PhysChemOnly,PhysChemOnly-Ridge,test,22,1.1661466952539692,0.9223853378314092,0.2822049393408489,"{""alpha"": 1.0}",42
PhysChemOnly,PhysChemOnly-SVR,val,22,1.2909534770497295,1.0712867883352388,0.3147313812922804,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
PhysChemOnly,PhysChemOnly-SVR,test,22,1.128758300326295,0.8708319010587662,0.4813661336776276,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
PhysChemOnly,PhysChemOnly-CatBoost,val,22,1.2421920725414164,1.0118910841196478,0.3850857777886257,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
PhysChemOnly,PhysChemOnly-CatBoost,test,22,1.1675040385709057,0.9416405982676744,0.3759032771683026,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
Descriptor,Descriptor-Ridge,val,82,1.1896018933894832,0.9725416326387742,0.4342303251530736,"{""alpha"": 1.0}",42
Descriptor,Descriptor-Ridge,test,82,1.1797069169067955,0.919882543957098,0.327291178270344,"{""alpha"": 1.0}",42
Descriptor,Descriptor-SVR,val,82,1.248354833417527,1.0114333559776452,0.3329075830722674,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
Descriptor,Descriptor-SVR,test,82,1.180789569764338,0.9349351967577708,0.4055009273812408,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
Descriptor,Descriptor-CatBoost,val,82,1.1744321634611403,0.9398522958319996,0.4821534801451869,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
Descriptor,Descriptor-CatBoost,test,82,1.1946323525527909,0.9535088978182036,0.3092696924573185,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
A1FlatFull,A1FlatFull-Ridge,val,906,1.206109439247223,0.9829685496874452,0.4541239459000736,"{""alpha"": 1.0}",42
A1FlatFull,A1FlatFull-Ridge,test,906,1.2167613532980683,0.9509406462354328,0.3705252476334371,"{""alpha"": 1.0}",42
A1FlatFull,A1FlatFull-SVR,val,906,1.2207856290357293,0.9462756907561674,0.415281520167145,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
A1FlatFull,A1FlatFull-SVR,test,906,1.1571268738906346,0.9051046586667524,0.4061133079671203,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
A1FlatFull,A1FlatFull-CatBoost,val,906,1.2180171557594743,0.977319516543398,0.3444378346749701,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
A1FlatFull,A1FlatFull-CatBoost,test,906,1.2075790071476786,0.966257588350975,0.2590544844151989,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
,MeanPredictor,val,0,1.193038336840466,1.015377053579582,0.0,"{""mean_value"": 4.073465432205669}",52
,MeanPredictor,test,0,1.303368080603433,1.072998449682688,0.0,"{""mean_value"": 4.073465432205669}",52
SeqOnly,SeqOnly-Ridge,val,130,1.1624942229595965,0.9613389974288848,0.3269033934460971,"{""alpha"": 1.0}",52
SeqOnly,SeqOnly-Ridge,test,130,1.133854173002712,0.8999923386768438,0.4998469036863692,"{""alpha"": 1.0}",52
SeqOnly,SeqOnly-SVR,val,130,1.1538715054031534,0.9143624010674098,0.3870211444566296,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
SeqOnly,SeqOnly-SVR,test,130,1.1173920904310188,0.8562691809686007,0.5512523294435294,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
SeqOnly,SeqOnly-CatBoost,val,130,1.1601342401718011,0.9410128355486111,0.3334820530444556,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
SeqOnly,SeqOnly-CatBoost,test,130,1.1228556134651315,0.8661694639310678,0.4404279704422181,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
PhysChemOnly,PhysChemOnly-Ridge,val,22,1.1852920426143947,1.0010193285212818,0.1769332390169037,"{""alpha"": 1.0}",52
PhysChemOnly,PhysChemOnly-Ridge,test,22,1.1834008119797184,0.93686827013859,0.3893233951569642,"{""alpha"": 1.0}",52
PhysChemOnly,PhysChemOnly-SVR,val,22,1.2391766838663538,1.0278861474155638,0.1619015958438138,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
PhysChemOnly,PhysChemOnly-SVR,test,22,1.1673559158776394,0.9135714155149164,0.4214826868876056,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
PhysChemOnly,PhysChemOnly-CatBoost,val,22,1.2523822650811385,1.0496231574987132,0.2123828772930357,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
PhysChemOnly,PhysChemOnly-CatBoost,test,22,1.1952748477024755,0.9289473385696504,0.3406820289920116,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
Descriptor,Descriptor-Ridge,val,82,1.1942903511130123,0.9720554622438404,0.2637587591629155,"{""alpha"": 1.0}",52
Descriptor,Descriptor-Ridge,test,82,1.1189716043275226,0.8776150626499684,0.5375698777954357,"{""alpha"": 1.0}",52
Descriptor,Descriptor-SVR,val,82,1.194269957978165,0.9931639120289656,0.3126787917081567,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
Descriptor,Descriptor-SVR,test,82,1.146272357851824,0.9076263800884145,0.4611441120679763,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
Descriptor,Descriptor-CatBoost,val,82,1.2577063287811845,1.0422733753010471,0.1819629250609832,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
Descriptor,Descriptor-CatBoost,test,82,1.1587050791554372,0.8789530341007556,0.3745877331637314,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
A1FlatFull,A1FlatFull-Ridge,val,906,1.179965018681859,0.9417546452099568,0.3528331102672872,"{""alpha"": 1.0}",52
A1FlatFull,A1FlatFull-Ridge,test,906,1.1185987933518065,0.8695253733600332,0.5063032012031807,"{""alpha"": 1.0}",52
A1FlatFull,A1FlatFull-SVR,val,906,1.1256228771508896,0.872065696320555,0.426213159085149,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
A1FlatFull,A1FlatFull-SVR,test,906,1.0435630820117785,0.7800555105042999,0.6289553572813608,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
A1FlatFull,A1FlatFull-CatBoost,val,906,1.154791447504868,0.9542038897560016,0.3963117514958009,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
A1FlatFull,A1FlatFull-CatBoost,test,906,1.1226506678883998,0.8213077154397697,0.4272179308075496,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
,MeanPredictor,val,0,1.046811750099829,0.8273581428562722,0.0,"{""mean_value"": 4.070099444740661}",62
,MeanPredictor,test,0,1.1632771185479185,0.9477667464887392,0.0,"{""mean_value"": 4.070099444740661}",62
SeqOnly,SeqOnly-Ridge,val,130,1.068926405053632,0.821040514395173,0.248414385578446,"{""alpha"": 1.0}",62
SeqOnly,SeqOnly-Ridge,test,130,1.089465095381801,0.8606577751881067,0.3327705216049796,"{""alpha"": 1.0}",62
SeqOnly,SeqOnly-SVR,val,130,1.077840171457487,0.7925419870287719,0.2075777060503369,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
SeqOnly,SeqOnly-SVR,test,130,1.0605005776564869,0.8371779337821377,0.3693737042748159,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
SeqOnly,SeqOnly-CatBoost,val,130,1.0131216076130822,0.7678815337406425,0.2962671355824642,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
SeqOnly,SeqOnly-CatBoost,test,130,1.037962865175692,0.8104519519458183,0.3771247606432372,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
PhysChemOnly,PhysChemOnly-Ridge,val,22,1.0571976505881509,0.8397262495674543,0.1363684081604087,"{""alpha"": 1.0}",62
PhysChemOnly,PhysChemOnly-Ridge,test,22,1.131889052556909,0.8960708469524312,0.2197648376259798,"{""alpha"": 1.0}",62
PhysChemOnly,PhysChemOnly-SVR,val,22,1.017000065293693,0.8080280482933376,0.3147636210938867,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
PhysChemOnly,PhysChemOnly-SVR,test,22,1.1481254438717994,0.9052946282806152,0.2279885218365061,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
PhysChemOnly,PhysChemOnly-CatBoost,val,22,1.006291609388681,0.8079193688525949,0.3066627007733492,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
PhysChemOnly,PhysChemOnly-CatBoost,test,22,1.0790421279192632,0.8327762378347998,0.3726903695408735,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
Descriptor,Descriptor-Ridge,val,82,1.0614395272696633,0.811289623740933,0.2634788162012832,"{""alpha"": 1.0}",62
Descriptor,Descriptor-Ridge,test,82,1.0960783013327906,0.8841856791046366,0.3253169098376037,"{""alpha"": 1.0}",62
Descriptor,Descriptor-SVR,val,82,1.0800763832505966,0.7987842699070941,0.3227042490216128,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
Descriptor,Descriptor-SVR,test,82,1.053898515518996,0.8535688226942545,0.3707559468326156,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
Descriptor,Descriptor-CatBoost,val,82,0.972227490924476,0.7547811033798398,0.3901879992100948,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
Descriptor,Descriptor-CatBoost,test,82,1.0604759010673417,0.8048833729935753,0.4009378254681164,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
A1FlatFull,A1FlatFull-Ridge,val,906,1.1775812420252478,0.8745593203138167,0.2383014460894799,"{""alpha"": 1.0}",62
A1FlatFull,A1FlatFull-Ridge,test,906,1.0585435222718125,0.8192057935663687,0.4189419722019891,"{""alpha"": 1.0}",62
A1FlatFull,A1FlatFull-SVR,val,906,1.0494342629179796,0.772674504729703,0.3354766466460857,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
A1FlatFull,A1FlatFull-SVR,test,906,1.00915491614858,0.7423366593084383,0.4592019737905614,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
A1FlatFull,A1FlatFull-CatBoost,val,906,1.0962082446013937,0.8222095528913727,0.2493067037686489,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
A1FlatFull,A1FlatFull-CatBoost,test,906,1.0138973052403952,0.76349326609275,0.4000104981825039,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
